"Amour de saumon en papillote","Ingrédients : saumon frais, tomates cerise, champignon de Paris, ail, aneth, huile d'olive, citron, sel, poivre.Préchauffer le four à 180°C (thermostat 6). Laver, essorer et ciseler l'aneth. Peler et émincer la...","50 min","done",""
"Courgette farcie","Ingrédients : courgette, oignon, ail, boeuf haché, tomates pelées, huile d'olive, herbes de Provence, sucre, cube de bouillon, sel, poivre, gruyère râpé.Laver la courgette, en couper les extrémités, puis la...","50 min","",""
"Cheesecake au saumon","Ingrédients : Saumon Fumé Norvège MOWI®,ricotta,mascarpone,citron vert,raifort,sel,ciboulette,baies roses,biscuit salé,beurre,parmesan râpé.Pour les fonds de tarte : mixer les...","26 min","",""
"Pâtes carbonara","Ingrédients : spaghetti,Bouillon KUB OR MAGGI,lardons,crème fraîche allégée,jaune d'oeuf,parmesan râpé,spaghetti,Bouillon KUB OR MAGGI,lardons,crème fraîche allégée,jaune...","25 min","",""
"Haricot de mouton (le vrai)","Ingrédients : mouton, pomme de terre, navet, tomate, oignon, ail, lardons fumés, farine, huile d'olive, thym, persil, poivre, sel.Faire chauffer un fond l'huile d'olive dans une grande cocotte, y mettre les lardons...","1h15","done","rating: 4.5/5"
"Huîtres panées","Ingrédients : huître, farine, oeuf, chapelure, beurre.Ouvrir les coquilles et récupérer les huîtres. Préparer 3 assiettes avec la farine, puis l'oeuf battu et la chapelure. Tremper les huîtres dans la farine,...","20 min","","rating: 5/5"
"Caviar d'aubergines allégé","Ingrédients : aubergine, oignon, ail, concentré de tomates, huile d'olive, vinaigre balsamique, jus de citron, marjolaine, persil, poivre, sel.Couper les aubergines  en deux dans le sens de la largeur. Entailler la...","25 min","","rating: 4.6/5"
"Amour de saumon en papillote","Ingrédients : saumon frais, tomates cerise, champignon de Paris, ail, aneth, huile d'olive, citron, sel, poivre.Préchauffer le four à 180°C (thermostat 6). Laver, essorer et ciseler l'aneth. Peler et émincer la...","50 min","done","rating: 4.7/5"
"Amour de saumon en papillote","Ingrédients : saumon frais, tomates cerise, champignon de Paris, ail, aneth, huile d'olive, citron, sel, poivre.Préchauffer le four à 180°C (thermostat 6). Laver, essorer et ciseler l'aneth. Peler et émincer la...","50 min","done","rating: 4.7/5"
"Haricot de mouton (le vrai)","Ingrédients : mouton, pomme de terre, navet, tomate, oignon, ail, lardons fumés, farine, huile d'olive, thym, persil, poivre, sel.Faire chauffer un fond l'huile d'olive dans une grande cocotte, y mettre les lardons...","1h15","done","rating: 4.5/5"
